Câu hỏi ,Trả lời,Pattern
Cho em hỏi là điểm chuẩn để xét học bổng khuyến khích cho sinh viên là như thế nào ạ?,"Sinh viên phải đạt điểm trung bình học kì từ 7 điểm trở lên và không bị kỷ luật hoặc khiển trách trong học kỳ đó, có điểm rèn luyện loại khá trở lên là đủ tiêu chuẩn để xét học bổng.",hocbongkhuyenkhich
Khi SV khoa CNTT có tham gia đề tài NCKH tại khoa khác đã được hỗ trợ thì có được khoa CNTT hỗ trợ không?,"Khoa không hỗ trợ thêm, tuy nhiên khi đề tài quá lớn có thể tách riêng ra thành những đề tài nhỏ hơn liên quan trực tiếp đến ngành CNTT thì khoa có thể hỗ trợ.",nguyencuukhoahoc
Nếu không hoàn thành 6 bài luận chính trị có bị treo bằng?,"Theo thông tin chính thức từ phòng QLSV thì không có văn bản quy định việc không hoàn thành 6 bài lý luận chính trị thì bị treo bằng cả. 6 bài lý luận chính trị là một chứng nhận của hệ thống Đoàn với mục đích rèn luyện mục tiêu lý tưởng chính trị cho Đoàn viên, là điều kiện để xem xét thành tích của Đoàn viên, xét học bổng khuyến khích của hệ thống Đoàn chính vì vậy việc học và hoàn thành 6 bài luận chính trị có vai trò quan trọng trong quá trình hoạt động Đoàn của đoàn viên đang sinh hoạt hoặc sau này ra trường.",bailuanchinhtri
Sinh viên có được kéo dài thời gian hủy môn học hay không? ,Thời gian hủy môn học là do nhà trường quy định phù hợp với quy trình quản lý chung.,huymonhoc
Thời gian khoa CNTT mở khóa luận tốt nghiệp,Hiện tại khoa luôn mở đăng kí để làm khóa luận vào mỗi kì của năm học  ,luanvantotnghiep
Cách thức đăng ký chuyên ngành CNTT như thế nào? ,SV sẽ đăng ký chuyên ngành qua website của Khoa.,dangkychuyennganh
SV học trễ một học kỳ thì đăng ký chuyên ngành thế nào?,SV phải đăng ký chuyên ngành vào đầu học kỳ 6 dù có học trễ hay không.,dieukienchuyennganh
"Khi đăng ký chuyên ngành, SV có được học chuyên ngành nào tùy  ý thích hay không?","SV được tùy ý chọn chuyên ngành nhưng kết quả tùy thuộc vào số lượng SV đăng ký vào chuyên ngành và điểm TBTL của SV. Tuy nhiên, sinh viên được phép đăng ký học bất cứ môn học nào mà Khoa có mở ở tất cả các chuyên ngành.",tuvanchuyennganh
Điều kiện để được làm khóa luận tốt nghiệp?,"Hằng năm, Khoa sẽ chọn các sinh viên đủ điều kiện làm khóa luận tốt nghiệp dựa trên điểm trung bình tích lũy và số tín chỉ tích lũy. Điều kiện sẽ thay đổi hàng năm tùy theo số lượng sinh viên và số lượng giảng viên.",dieukienchuyennganh
Hai môn học có mã môn học khác nhau nhưng tương đương có phải làm đơn xin xét tương đương?,SV làm đơn và Khoa sẽ xác nhận.,monhoctuongduong
Sinh viên cần thực hiện bao nhiêu buổi công tác xã hội để ra trường," Để tốt nghiệp, SV phải hoàn thành 8 buổi công tác xã hội qui đổi. Các hoạt động liên quan đến công tác xã hội như tham gia mùa hè xanh, chủ nhật xanh, tiếp sức mùa thi.",congtacxahoi
"SV có thể tích lũy nhiều hơn 180TC được không, những môn rớt có được ghi vào bảng điểm hay không?","SV có thể đăng ký học và tích lũy nhiều hơn 180TC, và điểm của các môn học thêm ngoài chương trình sẽ được tính vào điểm tích lũy. Khi in bảng điểm toàn khóa sẽ in điểm cao nhất trong các lần thi của môn đó, bảng điểm tốt nghiệp chỉ in những điểm đạt. ",tichluychungchi
SV hệ sư phạm khi tốt nghiệp sẽ có những bằng gì?,SV hệ sư phạm khi tốt nghiệp sẽ có bằng kỹ sư và chứng chỉ sư phạm bậc 2.,chuongtrinhdaotao
SV hệ kỹ sư có thể đăng ký học các môn về sư phạm hay không?,SV có thể đăng ký học chứng chỉ sư phạm tại viện sư phạm kỹ thuật bất cứ khi nào. Chứng chỉ này độc lập với bằng tốt nghiệp kỹ sư.,kysusupham
Cách để tìm hiểu CLB học thuật của khoa và thường xuyên tổ chức hội thi dành cho CLB học thuật khoa,"hiện tại Khoa cũng đã có CLB Tin học. Các hoạt động hàng năm của CLB là tổ chức các buổi hội thảo chuyên đề, cuộc thi Mastering IT. Nếu em có ý kiến đóng góp hay mong muốn tham gia đóng góp vào tổ chức các hoạt động của CLB, em có thể liên hệ anh Nguyễn Thế Bảo (phó Bí Thư Đoàn Khoa, chủ nhiệm CLB).",clbhocthuat
Em vẫn chưa định hướng được chuyên ngành mà mình sẽ chọn vì sắp phải chọn chuyên ngành ,"Khi học công nghệ thông tin, sinh viên được chọn một trong 4 chuyên ngành: Công nghệ phần mềm, hệ thống thông tin, kĩ thuật dữ liệu và mạng máy tính .Trong 2.5 năm đầu, tất cả sinh viên đều được học chung chương trình. Trong thời gian này, sinh viên sẽ được cung cấp các kiến thức nền tảng cần thiết trong lĩnh vực công nghệ thông tin như: Kiến thức về lập trình, về cơ sở dữ liệu, mạngmáy tính,... Dĩ nhiên là bao gồm cả các kiến thức đại cương (toán, lý, ...)",chuyennganhcntt
Chuyên ngành công nghệ phầm mềm làm những gì ,"cung cấp cho sinh viên kiến thức chuyên sâu về lập trình (các công nghệ và môi trường lập trình, phương pháp lập trình, quy trình xây dựng phần mềm). Khi ra trường, SV có thể tham gia vào các dự án phần mềm với các vị trí khác nhau: developer, designer, tester,...",congnghephanmem
Chuyên ngành hệ thống thông tin làm những gì ,"cung cấp cho viên viên kiến thức chuyên sâu hơn về cơ sở dữ liệu: phương pháp phân tích, thiết kế, quản trị dữ liệu, .... Khi ra trường các bạn có thể làm việc tại các công ty phần mềm ở các giai đoạn liên quan đến cơ sở dữ liệu, làm việc tại các công ty thuộc các lĩnh vực khác mà có nhu cầu quản trị dữ liệu,..",hethongthongtin
Chuyên ngành mạng máy tính là làm gì ,"Cung cấp cho sinh viên kiến thức chuyên sâu hơn về mạng máy tính. Cách thiết kế, cấu hình, triển khai hệ thống mạng.....Các bạn có thể làm việc tại các công ty cung cấp, triển khai hệ thống mạng, hoặc tham gia quản trị mạng .",mangmaytinh
"Em muốn đi thực tập tại các công ty tin học bên ngoài, Khoa có thể hỗ trợ liên hệ hay tổ chức không ?","Hàng năm, Khoa đều có liên hệ với các công ty tin học trên địa bàn thành phố HCM (TMA, Global Cybersoft, Lạc Việt, …) để gửi sinh viên đến thực tập. Vì vậy, nếu em có mong muốn đi thực tập, em theo dõi các thông báo của Khoa để khi nào đến đợt thì đăng ký.",thuctap
Thời gian thực hiện đề tài NCKH sinh viên là bao lâu? Đăng ký vào thời gian nào?,"Hiện nay, theo quy trình của nhà Trường, các đề tài NCKH được tiến hành đăng ký vào khoảng đầu học kỳ 2 hàng năm. Thời gian thực hiện cho mỗi đề tài là 1 năm.",nguyencuudetai
Trưởng khoa công nghệ thông tin là ai ,Tiến sĩ Lê Văn Vinh thông tin liên hệ vinhlv@hcmute.edu.vn,truongkhoa
